"berkas_citra","nama"
"100__M_Right_ring_finger.BMP","Bertha Gutkowski"
"100__M_Right_thumb_finger.BMP","Bertha Gutkowski"
"101__M_Left_index_finger.BMP","Maureen Bernhard III"
"101__M_Left_little_finger.BMP","Maureen Bernhard III"
"101__M_Left_middle_finger.BMP","Maureen Bernhard III"
"101__M_Left_ring_finger.BMP","Maureen Bernhard III"
"101__M_Left_thumb_finger.BMP","Maureen Bernhard III"
"101__M_Right_index_finger.BMP","Maureen Bernhard III"
"101__M_Right_little_finger.BMP","Maureen Bernhard III"
"101__M_Right_middle_finger.BMP","Maureen Bernhard III"
"101__M_Right_ring_finger.BMP","Maureen Bernhard III"
"101__M_Right_thumb_finger.BMP","Maureen Bernhard III"
"102__M_Left_index_finger.BMP","Scott Lang Jr."
"102__M_Left_little_finger.BMP","Scott Lang Jr."
"102__M_Left_middle_finger.BMP","Scott Lang Jr."
"102__M_Left_ring_finger.BMP","Scott Lang Jr."
"102__M_Left_thumb_finger.BMP","Scott Lang Jr."
"102__M_Right_index_finger.BMP","Scott Lang Jr."
"102__M_Right_little_finger.BMP","Scott Lang Jr."
"102__M_Right_middle_finger.BMP","Scott Lang Jr."
"102__M_Right_ring_finger.BMP","Scott Lang Jr."
"102__M_Right_thumb_finger.BMP","Scott Lang Jr."
"103__F_Left_index_finger.BMP","Lamar Huel PhD"
"103__F_Left_little_finger.BMP","Lamar Huel PhD"
"103__F_Left_middle_finger.BMP","Lamar Huel PhD"
"103__F_Left_ring_finger.BMP","Lamar Huel PhD"
"103__F_Left_thumb_finger.BMP","Lamar Huel PhD"
"103__F_Right_index_finger.BMP","Lamar Huel PhD"
"103__F_Right_little_finger.BMP","Lamar Huel PhD"
"103__F_Right_middle_finger.BMP","Lamar Huel PhD"
"103__F_Right_ring_finger.BMP","Lamar Huel PhD"
"103__F_Right_thumb_finger.BMP","Lamar Huel PhD"
"104__M_Left_index_finger.BMP","Mr. Terrence Predovic"
"104__M_Left_little_finger.BMP","Mr. Terrence Predovic"
"104__M_Left_middle_finger.BMP","Mr. Terrence Predovic"
"104__M_Left_ring_finger.BMP","Mr. Terrence Predovic"
"104__M_Left_thumb_finger.BMP","Mr. Terrence Predovic"
"104__M_Right_index_finger.BMP","Mr. Terrence Predovic"
"104__M_Right_little_finger.BMP","Mr. Terrence Predovic"
"104__M_Right_middle_finger.BMP","Mr. Terrence Predovic"
"104__M_Right_ring_finger.BMP","Mr. Terrence Predovic"
"104__M_Right_thumb_finger.BMP","Mr. Terrence Predovic"
"105__M_Left_index_finger.BMP","Jessie Berge"
"105__M_Left_little_finger.BMP","Jessie Berge"
"105__M_Left_middle_finger.BMP","Jessie Berge"
"105__M_Left_ring_finger.BMP","Jessie Berge"
"105__M_Left_thumb_finger.BMP","Jessie Berge"
"105__M_Right_index_finger.BMP","Jessie Berge"
"105__M_Right_little_finger.BMP","Jessie Berge"
"105__M_Right_middle_finger.BMP","Jessie Berge"
"105__M_Right_ring_finger.BMP","Jessie Berge"
"105__M_Right_thumb_finger.BMP","Jessie Berge"
"106__M_Left_index_finger.BMP","Maggie Goodwin"
"106__M_Left_little_finger.BMP","Maggie Goodwin"
"106__M_Left_middle_finger.BMP","Maggie Goodwin"
"106__M_Left_ring_finger.BMP","Maggie Goodwin"
"106__M_Left_thumb_finger.BMP","Maggie Goodwin"
"106__M_Right_index_finger.BMP","Maggie Goodwin"
"106__M_Right_little_finger.BMP","Maggie Goodwin"
"106__M_Right_middle_finger.BMP","Maggie Goodwin"
"106__M_Right_ring_finger.BMP","Maggie Goodwin"
"106__M_Right_thumb_finger.BMP","Maggie Goodwin"
"107__M_Left_index_finger.BMP","Louis Quitzon"
"107__M_Left_little_finger.BMP","Louis Quitzon"
"107__M_Left_middle_finger.BMP","Louis Quitzon"
"107__M_Left_ring_finger.BMP","Louis Quitzon"
"107__M_Left_thumb_finger.BMP","Louis Quitzon"
"107__M_Right_index_finger.BMP","Louis Quitzon"
"107__M_Right_little_finger.BMP","Louis Quitzon"
"107__M_Right_middle_finger.BMP","Louis Quitzon"
"107__M_Right_ring_finger.BMP","Louis Quitzon"
"107__M_Right_thumb_finger.BMP","Louis Quitzon"
"108__M_Left_index_finger.BMP","Cory Wilderman"
"108__M_Left_little_finger.BMP","Cory Wilderman"
"108__M_Left_middle_finger.BMP","Cory Wilderman"
"108__M_Left_ring_finger.BMP","Cory Wilderman"
"108__M_Left_thumb_finger.BMP","Cory Wilderman"
"108__M_Right_index_finger.BMP","Cory Wilderman"
"108__M_Right_little_finger.BMP","Cory Wilderman"
"108__M_Right_middle_finger.BMP","Cory Wilderman"
"108__M_Right_ring_finger.BMP","Cory Wilderman"
"108__M_Right_thumb_finger.BMP","Cory Wilderman"
"109__F_Left_index_finger.BMP","Charles Grady"
"109__F_Left_little_finger.BMP","Charles Grady"
"109__F_Left_middle_finger.BMP","Charles Grady"
"109__F_Left_ring_finger.BMP","Charles Grady"
"109__F_Left_thumb_finger.BMP","Charles Grady"
"109__F_Right_index_finger.BMP","Charles Grady"
"109__F_Right_little_finger.BMP","Charles Grady"
"109__F_Right_middle_finger.BMP","Charles Grady"
"109__F_Right_ring_finger.BMP","Charles Grady"
"109__F_Right_thumb_finger.BMP","Charles Grady"
"110__F_Left_index_finger.BMP","Brandon O'Kon"
"110__F_Left_little_finger.BMP","Brandon O'Kon"
"110__F_Left_middle_finger.BMP","Brandon O'Kon"
"110__F_Left_ring_finger.BMP","Brandon O'Kon"
"110__F_Left_thumb_finger.BMP","Brandon O'Kon"
"110__F_Right_index_finger.BMP","Brandon O'Kon"
"110__F_Right_little_finger.BMP","Brandon O'Kon"
"110__F_Right_middle_finger.BMP","Brandon O'Kon"
"110__F_Right_ring_finger.BMP","Brandon O'Kon"
"110__F_Right_thumb_finger.BMP","Brandon O'Kon"
"111__M_Left_index_finger.BMP","Zachary DuBuque"
"111__M_Left_little_finger.BMP","Zachary DuBuque"
"111__M_Left_middle_finger.BMP","Zachary DuBuque"
"111__M_Left_ring_finger.BMP","Zachary DuBuque"
"111__M_Left_thumb_finger.BMP","Zachary DuBuque"
"111__M_Right_index_finger.BMP","Zachary DuBuque"
"111__M_Right_little_finger.BMP","Zachary DuBuque"
"111__M_Right_middle_finger.BMP","Zachary DuBuque"
"111__M_Right_ring_finger.BMP","Zachary DuBuque"
"111__M_Right_thumb_finger.BMP","Zachary DuBuque"
"112__M_Left_index_finger.BMP","Freda Greenfelder"
"112__M_Left_little_finger.BMP","Freda Greenfelder"
"112__M_Left_middle_finger.BMP","Freda Greenfelder"
"112__M_Left_ring_finger.BMP","Freda Greenfelder"
"112__M_Left_thumb_finger.BMP","Freda Greenfelder"
"112__M_Right_index_finger.BMP","Freda Greenfelder"
"112__M_Right_little_finger.BMP","Freda Greenfelder"
"112__M_Right_middle_finger.BMP","Freda Greenfelder"
"112__M_Right_ring_finger.BMP","Freda Greenfelder"
"112__M_Right_thumb_finger.BMP","Freda Greenfelder"
"113__M_Left_index_finger.BMP","Dianne Marvin"
"113__M_Left_little_finger.BMP","Dianne Marvin"
"113__M_Left_middle_finger.BMP","Dianne Marvin"
"113__M_Left_ring_finger.BMP","Dianne Marvin"
"113__M_Left_thumb_finger.BMP","Dianne Marvin"
"113__M_Right_index_finger.BMP","Dianne Marvin"
"113__M_Right_little_finger.BMP","Dianne Marvin"
"113__M_Right_middle_finger.BMP","Dianne Marvin"
"113__M_Right_ring_finger.BMP","Dianne Marvin"
"113__M_Right_thumb_finger.BMP","Dianne Marvin"
"114__F_Left_index_finger.BMP","Marjorie Botsford"
"114__F_Left_little_finger.BMP","Marjorie Botsford"
"114__F_Left_middle_finger.BMP","Marjorie Botsford"
"114__F_Left_ring_finger.BMP","Marjorie Botsford"
"114__F_Left_thumb_finger.BMP","Marjorie Botsford"
"114__F_Right_index_finger.BMP","Marjorie Botsford"
"114__F_Right_little_finger.BMP","Marjorie Botsford"
"114__F_Right_middle_finger.BMP","Marjorie Botsford"
"114__F_Right_ring_finger.BMP","Marjorie Botsford"
"114__F_Right_thumb_finger.BMP","Marjorie Botsford"
"115__F_Left_index_finger.BMP","Faye Mraz"
"115__F_Left_little_finger.BMP","Faye Mraz"
"115__F_Left_middle_finger.BMP","Faye Mraz"
"115__F_Left_ring_finger.BMP","Faye Mraz"
"115__F_Left_thumb_finger.BMP","Faye Mraz"
"115__F_Right_index_finger.BMP","Faye Mraz"
"115__F_Right_little_finger.BMP","Faye Mraz"
"115__F_Right_middle_finger.BMP","Faye Mraz"
"115__F_Right_ring_finger.BMP","Faye Mraz"
"115__F_Right_thumb_finger.BMP","Faye Mraz"
"116__M_Left_index_finger.BMP","Arturo Cummings"
"116__M_Left_little_finger.BMP","Arturo Cummings"
"116__M_Left_middle_finger.BMP","Arturo Cummings"
"116__M_Left_ring_finger.BMP","Arturo Cummings"
"116__M_Left_thumb_finger.BMP","Arturo Cummings"
"116__M_Right_index_finger.BMP","Arturo Cummings"
"116__M_Right_little_finger.BMP","Arturo Cummings"
"116__M_Right_middle_finger.BMP","Arturo Cummings"
"116__M_Right_ring_finger.BMP","Arturo Cummings"
"116__M_Right_thumb_finger.BMP","Arturo Cummings"
"117__F_Left_index_finger.BMP","Kristopher Ferry"
"117__F_Left_little_finger.BMP","Kristopher Ferry"
"117__F_Left_middle_finger.BMP","Kristopher Ferry"
"117__F_Left_ring_finger.BMP","Kristopher Ferry"
"117__F_Left_thumb_finger.BMP","Kristopher Ferry"
"117__F_Right_index_finger.BMP","Kristopher Ferry"
"117__F_Right_little_finger.BMP","Kristopher Ferry"
"117__F_Right_middle_finger.BMP","Kristopher Ferry"
"117__F_Right_ring_finger.BMP","Kristopher Ferry"
"117__F_Right_thumb_finger.BMP","Kristopher Ferry"
"118__F_Left_index_finger.BMP","Ken Conroy"
"118__F_Left_little_finger.BMP","Ken Conroy"
"118__F_Left_middle_finger.BMP","Ken Conroy"
"118__F_Left_ring_finger.BMP","Ken Conroy"
"118__F_Left_thumb_finger.BMP","Ken Conroy"
"118__F_Right_index_finger.BMP","Ken Conroy"
"118__F_Right_little_finger.BMP","Ken Conroy"
"118__F_Right_middle_finger.BMP","Ken Conroy"
"118__F_Right_ring_finger.BMP","Ken Conroy"
"118__F_Right_thumb_finger.BMP","Ken Conroy"
"119__F_Left_index_finger.BMP","Douglas Heaney"
"119__F_Left_little_finger.BMP","Douglas Heaney"
"119__F_Left_middle_finger.BMP","Douglas Heaney"
"119__F_Left_ring_finger.BMP","Douglas Heaney"
"119__F_Left_thumb_finger.BMP","Douglas Heaney"
"119__F_Right_index_finger.BMP","Douglas Heaney"
"119__F_Right_little_finger.BMP","Douglas Heaney"
"119__F_Right_middle_finger.BMP","Douglas Heaney"
"119__F_Right_ring_finger.BMP","Douglas Heaney"
"119__F_Right_thumb_finger.BMP","Douglas Heaney"
"120__M_Left_index_finger.BMP","Opal Fay-Wiegand"
"120__M_Left_little_finger.BMP","Opal Fay-Wiegand"
"120__M_Left_middle_finger.BMP","Opal Fay-Wiegand"
"120__M_Left_ring_finger.BMP","Opal Fay-Wiegand"
"120__M_Left_thumb_finger.BMP","Opal Fay-Wiegand"
"120__M_Right_index_finger.BMP","Opal Fay-Wiegand"
"120__M_Right_little_finger.BMP","Opal Fay-Wiegand"
"120__M_Right_middle_finger.BMP","Opal Fay-Wiegand"
"120__M_Right_ring_finger.BMP","Opal Fay-Wiegand"
"120__M_Right_thumb_finger.BMP","Opal Fay-Wiegand"
"121__F_Left_index_finger.BMP","Scott Witting"
"121__F_Left_little_finger.BMP","Scott Witting"
"121__F_Left_middle_finger.BMP","Scott Witting"
"121__F_Left_ring_finger.BMP","Scott Witting"
"121__F_Left_thumb_finger.BMP","Scott Witting"
"121__F_Right_index_finger.BMP","Scott Witting"
"121__F_Right_little_finger.BMP","Scott Witting"
"121__F_Right_middle_finger.BMP","Scott Witting"
"121__F_Right_ring_finger.BMP","Scott Witting"
"121__F_Right_thumb_finger.BMP","Scott Witting"
"122__M_Left_index_finger.BMP","Gayle Fahey"
"122__M_Left_little_finger.BMP","Gayle Fahey"
"122__M_Left_middle_finger.BMP","Gayle Fahey"
"122__M_Left_ring_finger.BMP","Gayle Fahey"
"122__M_Left_thumb_finger.BMP","Gayle Fahey"
"122__M_Right_index_finger.BMP","Gayle Fahey"
"122__M_Right_little_finger.BMP","Gayle Fahey"
"122__M_Right_middle_finger.BMP","Gayle Fahey"
"122__M_Right_ring_finger.BMP","Gayle Fahey"
"122__M_Right_thumb_finger.BMP","Gayle Fahey"
"123__M_Left_index_finger.BMP","Orville Cummerata"
"123__M_Left_little_finger.BMP","Orville Cummerata"
"123__M_Left_middle_finger.BMP","Orville Cummerata"
"123__M_Left_ring_finger.BMP","Orville Cummerata"
"123__M_Left_thumb_finger.BMP","Orville Cummerata"
"123__M_Right_index_finger.BMP","Orville Cummerata"
"123__M_Right_little_finger.BMP","Orville Cummerata"
"123__M_Right_middle_finger.BMP","Orville Cummerata"
"123__M_Right_ring_finger.BMP","Orville Cummerata"
"123__M_Right_thumb_finger.BMP","Orville Cummerata"
"124__M_Left_index_finger.BMP","Belinda Langworth"
"124__M_Left_little_finger.BMP","Belinda Langworth"
"124__M_Left_middle_finger.BMP","Belinda Langworth"
"124__M_Left_ring_finger.BMP","Belinda Langworth"
"124__M_Left_thumb_finger.BMP","Belinda Langworth"
"124__M_Right_index_finger.BMP","Belinda Langworth"
"124__M_Right_little_finger.BMP","Belinda Langworth"
"124__M_Right_middle_finger.BMP","Belinda Langworth"
"124__M_Right_ring_finger.BMP","Belinda Langworth"
"124__M_Right_thumb_finger.BMP","Belinda Langworth"
"125__M_Left_index_finger.BMP","Alonzo Heaney"
"125__M_Left_little_finger.BMP","Alonzo Heaney"
"125__M_Left_middle_finger.BMP","Alonzo Heaney"
"125__M_Left_ring_finger.BMP","Alonzo Heaney"
"125__M_Left_thumb_finger.BMP","Alonzo Heaney"
"125__M_Right_index_finger.BMP","Alonzo Heaney"
"125__M_Right_little_finger.BMP","Alonzo Heaney"
"125__M_Right_middle_finger.BMP","Alonzo Heaney"
"125__M_Right_ring_finger.BMP","Alonzo Heaney"
"125__M_Right_thumb_finger.BMP","Alonzo Heaney"
"126__F_Left_index_finger.BMP","Hugh Wolf"
"126__F_Left_little_finger.BMP","Hugh Wolf"
"126__F_Left_middle_finger.BMP","Hugh Wolf"
"126__F_Left_ring_finger.BMP","Hugh Wolf"
"126__F_Left_thumb_finger.BMP","Hugh Wolf"
"126__F_Right_index_finger.BMP","Hugh Wolf"
"126__F_Right_little_finger.BMP","Hugh Wolf"
"126__F_Right_middle_finger.BMP","Hugh Wolf"
"126__F_Right_ring_finger.BMP","Hugh Wolf"
"126__F_Right_thumb_finger.BMP","Hugh Wolf"
"127__F_Left_index_finger.BMP","Judy Mayert"
"127__F_Left_little_finger.BMP","Judy Mayert"
"127__F_Left_middle_finger.BMP","Judy Mayert"
"127__F_Left_ring_finger.BMP","Judy Mayert"
"127__F_Left_thumb_finger.BMP","Judy Mayert"
"127__F_Right_index_finger.BMP","Judy Mayert"
"127__F_Right_little_finger.BMP","Judy Mayert"
"127__F_Right_middle_finger.BMP","Judy Mayert"
"127__F_Right_ring_finger.BMP","Judy Mayert"
"127__F_Right_thumb_finger.BMP","Judy Mayert"
"128__M_Left_index_finger.BMP","Fredrick Kemmer"
"128__M_Left_little_finger.BMP","Fredrick Kemmer"
"128__M_Left_middle_finger.BMP","Fredrick Kemmer"
"128__M_Left_ring_finger.BMP","Fredrick Kemmer"
"128__M_Left_thumb_finger.BMP","Fredrick Kemmer"
"128__M_Right_index_finger.BMP","Fredrick Kemmer"
"128__M_Right_little_finger.BMP","Fredrick Kemmer"
"128__M_Right_middle_finger.BMP","Fredrick Kemmer"
"128__M_Right_ring_finger.BMP","Fredrick Kemmer"
"128__M_Right_thumb_finger.BMP","Fredrick Kemmer"
"129__M_Left_index_finger.BMP","William Erdman"
"129__M_Left_little_finger.BMP","William Erdman"
"129__M_Left_middle_finger.BMP","William Erdman"
"129__M_Left_ring_finger.BMP","William Erdman"
"129__M_Left_thumb_finger.BMP","William Erdman"
"129__M_Right_index_finger.BMP","William Erdman"
"129__M_Right_little_finger.BMP","William Erdman"
"129__M_Right_middle_finger.BMP","William Erdman"
"129__M_Right_ring_finger.BMP","William Erdman"
"129__M_Right_thumb_finger.BMP","William Erdman"
"130__F_Left_index_finger.BMP","Terrell Goodwin"
"130__F_Left_little_finger.BMP","Terrell Goodwin"
"130__F_Left_middle_finger.BMP","Terrell Goodwin"
"130__F_Left_ring_finger.BMP","Terrell Goodwin"
"130__F_Left_thumb_finger.BMP","Terrell Goodwin"
"130__F_Right_index_finger.BMP","Terrell Goodwin"
"130__F_Right_little_finger.BMP","Terrell Goodwin"
"130__F_Right_middle_finger.BMP","Terrell Goodwin"
"130__F_Right_ring_finger.BMP","Terrell Goodwin"
"130__F_Right_thumb_finger.BMP","Terrell Goodwin"
"131__M_Left_index_finger.BMP","Angelina Fisher"
"131__M_Left_little_finger.BMP","Angelina Fisher"
"131__M_Left_middle_finger.BMP","Angelina Fisher"
"131__M_Left_ring_finger.BMP","Angelina Fisher"
"131__M_Left_thumb_finger.BMP","Angelina Fisher"
"131__M_Right_index_finger.BMP","Angelina Fisher"
"131__M_Right_little_finger.BMP","Angelina Fisher"
"131__M_Right_middle_finger.BMP","Angelina Fisher"
"131__M_Right_ring_finger.BMP","Angelina Fisher"
"131__M_Right_thumb_finger.BMP","Angelina Fisher"
"132__M_Left_index_finger.BMP","Mr. Micheal Towne"
"132__M_Left_little_finger.BMP","Mr. Micheal Towne"
"132__M_Left_middle_finger.BMP","Mr. Micheal Towne"
"132__M_Left_ring_finger.BMP","Mr. Micheal Towne"
"132__M_Left_thumb_finger.BMP","Mr. Micheal Towne"
"132__M_Right_index_finger.BMP","Mr. Micheal Towne"
"132__M_Right_little_finger.BMP","Mr. Micheal Towne"
"132__M_Right_middle_finger.BMP","Mr. Micheal Towne"
"132__M_Right_ring_finger.BMP","Mr. Micheal Towne"
"132__M_Right_thumb_finger.BMP","Mr. Micheal Towne"
"133__M_Left_index_finger.BMP","Peter Beer"
"133__M_Left_little_finger.BMP","Peter Beer"
"133__M_Left_middle_finger.BMP","Peter Beer"
"133__M_Left_ring_finger.BMP","Peter Beer"
"133__M_Left_thumb_finger.BMP","Peter Beer"
"133__M_Right_index_finger.BMP","Peter Beer"
"133__M_Right_little_finger.BMP","Peter Beer"
"133__M_Right_middle_finger.BMP","Peter Beer"
"133__M_Right_ring_finger.BMP","Peter Beer"
"133__M_Right_thumb_finger.BMP","Peter Beer"
"134__M_Left_index_finger.BMP","Cecil Tromp"
"134__M_Left_little_finger.BMP","Cecil Tromp"
"134__M_Left_middle_finger.BMP","Cecil Tromp"
"134__M_Left_ring_finger.BMP","Cecil Tromp"
"134__M_Left_thumb_finger.BMP","Cecil Tromp"
"134__M_Right_index_finger.BMP","Cecil Tromp"
"134__M_Right_little_finger.BMP","Cecil Tromp"
"134__M_Right_middle_finger.BMP","Cecil Tromp"
"134__M_Right_ring_finger.BMP","Cecil Tromp"
"134__M_Right_thumb_finger.BMP","Cecil Tromp"
"135__F_Left_index_finger.BMP","Yolanda Marvin"
"135__F_Left_little_finger.BMP","Yolanda Marvin"
"135__F_Left_middle_finger.BMP","Yolanda Marvin"
"135__F_Left_ring_finger.BMP","Yolanda Marvin"
"135__F_Left_thumb_finger.BMP","Yolanda Marvin"
"135__F_Right_index_finger.BMP","Yolanda Marvin"
"135__F_Right_little_finger.BMP","Yolanda Marvin"
"135__F_Right_middle_finger.BMP","Yolanda Marvin"
"135__F_Right_ring_finger.BMP","Yolanda Marvin"
"135__F_Right_thumb_finger.BMP","Yolanda Marvin"
"136__F_Left_index_finger.BMP","Preston Pagac"
"136__F_Left_little_finger.BMP","Preston Pagac"
"136__F_Left_middle_finger.BMP","Preston Pagac"
"136__F_Left_ring_finger.BMP","Preston Pagac"
"136__F_Left_thumb_finger.BMP","Preston Pagac"
"136__F_Right_index_finger.BMP","Preston Pagac"
"136__F_Right_little_finger.BMP","Preston Pagac"
"136__F_Right_middle_finger.BMP","Preston Pagac"
"136__F_Right_ring_finger.BMP","Preston Pagac"
"136__F_Right_thumb_finger.BMP","Preston Pagac"
"137__M_Left_index_finger.BMP","Alice Cruickshank"
"137__M_Left_little_finger.BMP","Alice Cruickshank"
"137__M_Left_middle_finger.BMP","Alice Cruickshank"
"137__M_Left_ring_finger.BMP","Alice Cruickshank"
"137__M_Left_thumb_finger.BMP","Alice Cruickshank"
"137__M_Right_index_finger.BMP","Alice Cruickshank"
"137__M_Right_little_finger.BMP","Alice Cruickshank"
"137__M_Right_middle_finger.BMP","Alice Cruickshank"
"137__M_Right_ring_finger.BMP","Alice Cruickshank"
"137__M_Right_thumb_finger.BMP","Alice Cruickshank"
"138__M_Left_index_finger.BMP","Cindy Schmitt"
"138__M_Left_little_finger.BMP","Cindy Schmitt"
"138__M_Left_middle_finger.BMP","Cindy Schmitt"
"138__M_Left_ring_finger.BMP","Cindy Schmitt"
"138__M_Left_thumb_finger.BMP","Cindy Schmitt"
"138__M_Right_index_finger.BMP","Cindy Schmitt"
"138__M_Right_little_finger.BMP","Cindy Schmitt"
"138__M_Right_middle_finger.BMP","Cindy Schmitt"
"138__M_Right_ring_finger.BMP","Cindy Schmitt"
"138__M_Right_thumb_finger.BMP","Cindy Schmitt"
"139__M_Left_index_finger.BMP","James Kshlerin PhD"
"139__M_Left_little_finger.BMP","James Kshlerin PhD"
"139__M_Left_middle_finger.BMP","James Kshlerin PhD"
"139__M_Left_ring_finger.BMP","James Kshlerin PhD"
"139__M_Left_thumb_finger.BMP","James Kshlerin PhD"
"139__M_Right_index_finger.BMP","James Kshlerin PhD"
"139__M_Right_little_finger.BMP","James Kshlerin PhD"
"139__M_Right_middle_finger.BMP","James Kshlerin PhD"
"139__M_Right_ring_finger.BMP","James Kshlerin PhD"
"139__M_Right_thumb_finger.BMP","James Kshlerin PhD"
"140__F_Left_index_finger.BMP","Bonnie Hintz"
"140__F_Left_little_finger.BMP","Bonnie Hintz"
"140__F_Left_middle_finger.BMP","Bonnie Hintz"
"140__F_Left_ring_finger.BMP","Bonnie Hintz"
"140__F_Left_thumb_finger.BMP","Bonnie Hintz"
"140__F_Right_index_finger.BMP","Bonnie Hintz"
"140__F_Right_little_finger.BMP","Bonnie Hintz"
"140__F_Right_middle_finger.BMP","Bonnie Hintz"
"140__F_Right_ring_finger.BMP","Bonnie Hintz"
"140__F_Right_thumb_finger.BMP","Bonnie Hintz"
"141__F_Left_index_finger.BMP","Timothy Funk"
"141__F_Left_little_finger.BMP","Timothy Funk"
"141__F_Left_middle_finger.BMP","Timothy Funk"
"141__F_Left_ring_finger.BMP","Timothy Funk"
"141__F_Left_thumb_finger.BMP","Timothy Funk"
"141__F_Right_index_finger.BMP","Timothy Funk"
"141__F_Right_little_finger.BMP","Timothy Funk"
"141__F_Right_middle_finger.BMP","Timothy Funk"
"141__F_Right_ring_finger.BMP","Timothy Funk"
"141__F_Right_thumb_finger.BMP","Timothy Funk"
"142__F_Left_index_finger.BMP","Bonnie Kautzer"
"142__F_Left_little_finger.BMP","Bonnie Kautzer"
"142__F_Left_middle_finger.BMP","Bonnie Kautzer"
"142__F_Left_ring_finger.BMP","Bonnie Kautzer"
"142__F_Left_thumb_finger.BMP","Bonnie Kautzer"
"142__F_Right_index_finger.BMP","Bonnie Kautzer"
"142__F_Right_little_finger.BMP","Bonnie Kautzer"
"142__F_Right_middle_finger.BMP","Bonnie Kautzer"
"142__F_Right_ring_finger.BMP","Bonnie Kautzer"
"142__F_Right_thumb_finger.BMP","Bonnie Kautzer"
"143__M_Left_index_finger.BMP","Erick Schaefer"
"143__M_Left_little_finger.BMP","Erick Schaefer"
"143__M_Left_middle_finger.BMP","Erick Schaefer"
"143__M_Left_ring_finger.BMP","Erick Schaefer"
"143__M_Left_thumb_finger.BMP","Erick Schaefer"
"143__M_Right_index_finger.BMP","Erick Schaefer"
"143__M_Right_little_finger.BMP","Erick Schaefer"
"143__M_Right_middle_finger.BMP","Erick Schaefer"
"143__M_Right_ring_finger.BMP","Erick Schaefer"
"143__M_Right_thumb_finger.BMP","Erick Schaefer"
"144__M_Left_index_finger.BMP","Bessie Harris"
"144__M_Left_little_finger.BMP","Bessie Harris"
"144__M_Left_middle_finger.BMP","Bessie Harris"
"144__M_Left_ring_finger.BMP","Bessie Harris"
"144__M_Left_thumb_finger.BMP","Bessie Harris"
"144__M_Right_index_finger.BMP","Bessie Harris"
"144__M_Right_little_finger.BMP","Bessie Harris"
"144__M_Right_middle_finger.BMP","Bessie Harris"
"144__M_Right_ring_finger.BMP","Bessie Harris"
"144__M_Right_thumb_finger.BMP","Bessie Harris"
"145__M_Left_index_finger.BMP","Joey Bernhard"
"145__M_Left_little_finger.BMP","Joey Bernhard"
"145__M_Left_middle_finger.BMP","Joey Bernhard"
"145__M_Left_ring_finger.BMP","Joey Bernhard"
"145__M_Left_thumb_finger.BMP","Joey Bernhard"
"145__M_Right_index_finger.BMP","Joey Bernhard"
"145__M_Right_little_finger.BMP","Joey Bernhard"
"145__M_Right_middle_finger.BMP","Joey Bernhard"
"145__M_Right_ring_finger.BMP","Joey Bernhard"
"145__M_Right_thumb_finger.BMP","Joey Bernhard"
"146__M_Left_index_finger.BMP","Ms. Dianna Rowe-Tillman"
"146__M_Left_little_finger.BMP","Ms. Dianna Rowe-Tillman"
"146__M_Left_middle_finger.BMP","Ms. Dianna Rowe-Tillman"
"146__M_Left_ring_finger.BMP","Ms. Dianna Rowe-Tillman"
"146__M_Left_thumb_finger.BMP","Ms. Dianna Rowe-Tillman"
"146__M_Right_index_finger.BMP","Ms. Dianna Rowe-Tillman"
"146__M_Right_little_finger.BMP","Ms. Dianna Rowe-Tillman"
"146__M_Right_middle_finger.BMP","Ms. Dianna Rowe-Tillman"
"146__M_Right_ring_finger.BMP","Ms. Dianna Rowe-Tillman"
"146__M_Right_thumb_finger.BMP","Ms. Dianna Rowe-Tillman"
"147__M_Left_index_finger.BMP","Mr. Caleb D'Amore"
"147__M_Left_little_finger.BMP","Mr. Caleb D'Amore"
"147__M_Left_middle_finger.BMP","Mr. Caleb D'Amore"
"147__M_Left_ring_finger.BMP","Mr. Caleb D'Amore"
"147__M_Left_thumb_finger.BMP","Mr. Caleb D'Amore"
"147__M_Right_index_finger.BMP","Mr. Caleb D'Amore"
"147__M_Right_little_finger.BMP","Mr. Caleb D'Amore"
"147__M_Right_middle_finger.BMP","Mr. Caleb D'Amore"
"147__M_Right_ring_finger.BMP","Mr. Caleb D'Amore"
"147__M_Right_thumb_finger.BMP","Mr. Caleb D'Amore"
"148__M_Left_index_finger.BMP","Darryl Stark"
"148__M_Left_little_finger.BMP","Darryl Stark"
"148__M_Left_middle_finger.BMP","Darryl Stark"
"148__M_Left_ring_finger.BMP","Darryl Stark"
"148__M_Left_thumb_finger.BMP","Darryl Stark"
"148__M_Right_index_finger.BMP","Darryl Stark"
"148__M_Right_little_finger.BMP","Darryl Stark"
"148__M_Right_middle_finger.BMP","Darryl Stark"
"148__M_Right_ring_finger.BMP","Darryl Stark"
"148__M_Right_thumb_finger.BMP","Darryl Stark"
"149__F_Left_index_finger.BMP","Miss Christina Hackett"
"149__F_Left_little_finger.BMP","Miss Christina Hackett"
"149__F_Left_middle_finger.BMP","Miss Christina Hackett"
"149__F_Left_ring_finger.BMP","Miss Christina Hackett"
"149__F_Left_thumb_finger.BMP","Miss Christina Hackett"
"149__F_Right_index_finger.BMP","Miss Christina Hackett"
"149__F_Right_little_finger.BMP","Miss Christina Hackett"
"149__F_Right_middle_finger.BMP","Miss Christina Hackett"
"149__F_Right_ring_finger.BMP","Miss Christina Hackett"
